"","Lineage analyzed","No. Swiss samples analyzed","Lineages aggregated","% lineage Swiss"
"1","B.1.160",1347,"B.1.160, B.1.160.10, B.1.160.11, B.1.160.12, B.1.160.14, B.1.160.15, B.1.160.16, AB, B.1.160.19, B.1.160.20, B.1.160.22, B.1.160.26, B.1.160.29, B.1.160.30, B.1.160.31, B.1.160.32, B.1.160.9, B.1.160.16.1, AB.1",19
"2","B.1.177",1260,"B.1.177, B.1.177.23, B.1.177.28, B.1.177.43, B.1.177.44, B.1.177.71",4.8
"3","B.1",930,"B.1, B.1.214.2",2.2
"4","B.1.1",655,"B.1.1, B.1.1.144, B.1.1.327, B.1.1.39, AQ, B.1.1.524",3.1
"5","B.1.221",176,"B.1.221",8.1
"6","B.1.1.70",108,"B.1.1.70, AP",15
"7","B.1.416.1",105,"B.1.416.1",45
"8","B.1.258",101,"B.1.258",4.4
"9","B.1.367",60,"B.1.367",10
"10","B.1.236",59,"B.1.236",33
"11","B.1.1.1.35",53,"B.1.1.1.35, C.35",13
"12","B.1.36.1",47,"B.1.36.1",35
"13","B.1.128",31,"B.1.128",3.3
"14","B.1.93",31,"B.1.93",3.3
"15","B.1.1.277",27,"B.1.1.277, K",5.8
"16","B.1.1.47",24,"B.1.1.47",32
"17","B.1.1.269",19,"B.1.1.269",5
"18","B.1.1.1.36",16,"B.1.1.1.36, C.36, B.1.1.1.36.2, C.36.2",9.3
"19","B.1.1.10",16,"B.1.1.10, L",2.7
"20","B.1.1.7",16,"B.1.1.7, Q",0.85
"21","B.1.1.1",15,"B.1.1.1, C, B.1.1.1.5, C.5",0.86
"22","B.1.1.189",15,"B.1.1.189",12
"23","B.1.146",15,"B.1.146",30
"24","B.1.1.232",14,"B.1.1.232, AK",3.1
"25","B",11,"B",0.44
"26","B.1.1.153",11,"B.1.1.153",6.5
"27","B.1.1.305",11,"B.1.1.305, AF, B.1.1.305.1, AF.1",8.4
"28","B.1.1.372",11,"B.1.1.372",0.95
"29","B.1.177.75",11,"B.1.177.75",12
"30","B.1.177.77",11,"B.1.177.77",6.1
"31","B.1.1.200.1",10,"B.1.1.200.1, AN.1",33
"32","B.1.147",10,"B.1.147",0.84
"33","B.1.177.81",10,"B.1.177.81",1.8
"34","B.1.1.37",9,"B.1.1.37",0.42
"35","B.1.177.33",8,"B.1.177.33",4.5
"36","B.1.36",8,"B.1.36",0.8
"37","B.1.509",8,"B.1.509",2.3
"38","B.1.1.433",7,"B.1.1.433",7.8
"39","B.1.1.521",7,"B.1.1.521",19
"40","B.1.36.17",7,"B.1.36.17",1.2
"41","B.1.8",7,"B.1.8",1.8
"42","B.1.91",7,"B.1.91",1.6
"43","B.1.177.51",6,"B.1.177.51",20
"44","B.1.258.17",6,"B.1.258.17",1.4
"45","B.1.467",6,"B.1.467",33
"46","B.1.1.242",5,"B.1.1.242",35
"47","B.1.1.58",5,"B.1.1.58",14
"48","B.1.177.83",5,"B.1.177.83",7.8
"49","B.1.177.85",5,"B.1.177.85",11
"50","B.1.535",5,"B.1.535",0.59
"51","B.40",5,"B.40",0.23
"52","B.1.1.218",4,"B.1.1.218",5.2
"53","B.1.1.241",4,"B.1.1.241, AH",4.2
"54","B.1.1.428",4,"B.1.1.428",50
"55","B.1.1.464",4,"B.1.1.464, AW",1.2
"56","B.1.258.14",4,"B.1.258.14",11
"57","B.1.356",4,"B.1.356",0.82
"58","A",3,"A",0.15
"59","B.1.1.170",3,"B.1.1.170",2.6
"60","B.1.1.231.1",3,"B.1.1.231.1, AL.1",0.34
"61","B.1.1.297",3,"B.1.1.297, AG",1.9
"62","B.1.1.317",3,"B.1.1.317, AS",2.1
"63","B.1.1.371",3,"B.1.1.371",6.2
"64","B.1.177.52",3,"B.1.177.52, Y",2.8
"65","B.1.177.53",3,"B.1.177.53, W",3.6
"66","B.1.389",3,"B.1.389",1.5
"67","B.1.474",3,"B.1.474",14
"68","B.1.480",3,"B.1.480",4.3
"69","B.1.9.5",3,"B.1.9.5",11
"70","B.11",3,"B.11",1.8
"71","B.3",3,"B.3",0.37
"72","A.2",2,"A.2",0.22
"73","B.1.1.219",2,"B.1.1.219",1.6
"74","B.1.1.243",2,"B.1.1.243",4.2
"75","B.1.1.33",2,"B.1.1.33, N",0.11
"76","B.1.1.44",2,"B.1.1.44",0.58
"77","B.1.1.50",2,"B.1.1.50",1.2
"78","B.1.160.28",2,"B.1.160.28",1.4
"79","B.1.177.15",2,"B.1.177.15, AA",0.21
"80","B.1.177.32",2,"B.1.177.32",1.1
"81","B.1.177.53.1",2,"B.1.177.53.1, W.1",7.7
"82","B.1.177.55",2,"B.1.177.55",0.87
"83","B.1.177.60",2,"B.1.177.60, U",2.5
"84","B.1.177.62",2,"B.1.177.62",6.2
"85","B.1.177.80",2,"B.1.177.80",17
"86","B.1.177.82",2,"B.1.177.82",0.63
"87","B.1.177.86",2,"B.1.177.86",2.1
"88","B.1.218",2,"B.1.218",6.5
"89","B.1.408",2,"B.1.408",3.5
"90","B.1.416",2,"B.1.416",0.94
"91","B.1.523",2,"B.1.523",0.88
"92","B.1.9.4",2,"B.1.9.4",12
"93","B.28",2,"B.28",0.57
"94","B.4",2,"B.4",0.54
"95","B.58",2,"B.58",2.2
"96","B.59",2,"B.59",1.3
"97","A.5",1,"A.5",0.21
"98","B.1.1.1.30",1,"B.1.1.1.30, C.30",0.19
"99","B.1.1.142",1,"B.1.1.142",6
"100","B.1.1.145",1,"B.1.1.145",4.5
"101","B.1.1.198",1,"B.1.1.198",0.18
"102","B.1.1.221",1,"B.1.1.221",1.2
"103","B.1.1.266",1,"B.1.1.266",4.9
"104","B.1.1.28",1,"B.1.1.28, P",0.066
"105","B.1.1.294",1,"B.1.1.294, M",0.28
"106","B.1.1.294.2",1,"B.1.1.294.2, M.2",50
"107","B.1.1.315",1,"B.1.1.315, AD",1.4
"108","B.1.1.331",1,"B.1.1.331",2.4
"109","B.1.1.336",1,"B.1.1.336",7.1
"110","B.1.1.355",1,"B.1.1.355",2.5
"111","B.1.1.369",1,"B.1.1.369",0.046
"112","B.1.1.406",1,"B.1.1.406",3.1
"113","B.1.1.409",1,"B.1.1.409",0.83
"114","B.1.1.519",1,"B.1.1.519",2.6
"115","B.1.1.71",1,"B.1.1.71",1.3
"116","B.1.12",1,"B.1.12",0.89
"117","B.1.127",1,"B.1.127",0.53
"118","B.1.149",1,"B.1.149",2.7
"119","B.1.177.31",1,"B.1.177.31",50
"120","B.1.177.50.1",1,"B.1.177.50.1, Z.1",0.5
"121","B.1.177.53.3",1,"B.1.177.53.3, W.3",0.65
"122","B.1.177.6",1,"B.1.177.6",0.19
"123","B.1.177.7",1,"B.1.177.7",0.03
"124","B.1.177.72",1,"B.1.177.72",1.8
"125","B.1.2",1,"B.1.2",0.0053
"126","B.1.213",1,"B.1.213",4.2
"127","B.1.220",1,"B.1.220",1.2
"128","B.1.221.1",1,"B.1.221.1",0.34
"129","B.1.229",1,"B.1.229",1.1
"130","B.1.258.4",1,"B.1.258.4",0.46
"131","B.1.258.7",1,"B.1.258.7",0.27
"132","B.1.258.9",1,"B.1.258.9",0.65
"133","B.1.36.22",1,"B.1.36.22",0.24
"134","B.1.36.24",1,"B.1.36.24",4.5
"135","B.1.36.35",1,"B.1.36.35",2.1
"136","B.1.397",1,"B.1.397",0.86
"137","B.1.398",1,"B.1.398",1.4
"138","B.1.400",1,"B.1.400",0.099
"139","B.1.406",1,"B.1.406",1.9
"140","B.1.415",1,"B.1.415",1.4
"141","B.1.513",1,"B.1.513",1.4
"142","B.1.520",1,"B.1.520",0.1
"143","B.1.540",1,"B.1.540",1.6
