Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium,GBR,96441
COVID-19 Genomics UK (COG-UK) Consortium,GBR,71371
"Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",DNK,27936
Houston Methodist Hospital,USA,27409
"Pathogen Genomics Center, National Institute of Infectious Diseases",JPN; MMR,19708
"Department of Biosystems Science and Engineering, ETH Zürich",CHE,11357
MDU-PHL,AUS; TLS,10459
TGen North,USA,9491
Wyoming Public Health Laboratory,USA,9172
Aalborg University,DNK,8439
SeqCOVID-SPAIN consortium/IBV(CSIC),ESP,8279
Chan-Zuckerberg Biohub,USA,7803
BCCDC Public Health Laboratory,CAN,7646
Laboratoire de santé publique du Québec,CAN,6914
Andersen lab at Scripps Research,JOR; MEX; USA,6258
Utah Public Health Laboratory,USA,5925
"MEPHI, Aix Marseille University",FRA,5617
"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",GBR; UKR,5142
deCODE genetics,ISL,5005
Erasmus Medical Center,BEL; BHR; LUX; NLD; SUR,4594
"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana",SVN,4501
Colorado Department of Public Health and Environment,USA,4193
Seattle Flu Study,USA,4145
UW Virology Lab,ARM; BRA; COL; USA; ZAF,3837
"Michigan Department of Health and Human Services, Bureau of Laboratories",USA,3714
University of Wisconsin-Madison AIDS Vaccine Research Laboratories,USA,3367
"KRISP, KZN Research Innovation and Sequencing Platform",MOZ; ZAF,3266
Quest Diagnostics,USA,3139
Florida Bureau of Public Health Laboratories,USA,2916
Public Health Wales Microbiology Cardiff,GBR; IRL,2815
"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",DEU,2643
VIDRL and MDU-PHL,AUS,2552
Oregon SARS-CoV-2 Genome Sequencing Center,USA,2505
"Gagnon Lab, Southern Illinois University",USA,2504
"Norwegian Institute of Public Health, Department of Virology",NOR,2474
Texas Department of State Health Services,USA,2415
National Microbiology Laboratory (NML),CAN,2379
